Reviewer,Date,Review
Naim Halif,a week ago,"Overrated.. Small portion rice, not full of cup.. Nasi tambah pun tak macam nasi tambah.. Nak letak nasi full kan cup, bukan kaut sikit letak je atas pinggan.. Disappointed"
Azri Azahar,a week ago,Nasi lemak sedap! Boleh cuba lagi lepas ni kalau singgah Kampung BaruðŸ˜Š
ajoy1919,2 weeks ago,Biase jer..nak cari parking..bapokkk susahhh..Â© Jon Malay 2023 route B49 Puncak Alam 42300
Dora Wong,2 weeks ago,"Delicious food, fast service and nice atmosphere.Definitely will go back here if I am in Kuala Lumpur."
Andre Tee,a month ago,Beautiful food here had a great experience here with the family. The venue is clean and very organised.
Hey Zahim,a month ago,"Semua ok. Layanan pun baik. Bagus nya ada pilihan, kalau x nak bayau rm 1 utk duduk air cond, boleh duduk luar. Apa2 pun yg penting bersih ðŸ‘ðŸ» teratur âœ¨ï¸"
Farhan Ansari,2 weeks ago,1st place where I tried authentic Malaysian food. The owner Shams came out to help me as he could speak good English and made me try some great dish at his place. Me trying Cotong(squid) was the first time. Great experience.
Khirul Efendi,2 weeks ago,sebagai org utara apa yg dapat dirumuskan.... sambal tumis wanjo fail..
hasrol amri abu yazid,2 weeks ago,"1st & last je la ni, jujur lillahi taala, datang dari jauh kecewa sangat..indah khabar dari rupa... sambal sangat manis dan masin. Paru liat, rendang daging sangat masin, x boleh makan... burn je duit puluh ringgit, lg sedap nasi lemak makcik tepi jalan."
Mohd Redzuan,2 weeks ago,"Nasi ok,tp sambal manis,"
Masda Silah,3 weeks ago,MMG sedap..tapi harga dia Pon boleh tahan
Aiman Al Faruq,3 weeks ago,"Pekerja kerek, marah sbb smbung meja dan undang2 xmunasabah."
ARL Tv,3 weeks ago,Nasi lemak best in Kg Baru Marvelouss new emviroment
Praend Adidarma,3 weeks ago,Sedap. Many choice for lauk. 8.5/10
Muhammad Randi Setiadi,3 weeks ago,Enak dan harga terjangkau
ezau zau,3 weeks ago,Nice... byk pilihan lauk pauk... cuma loc di kpg baru... jln masuk sgt sesak.. jarangÂ² nk dpt waktu tak sesak.. parkingÂ² dlm Private area.. 3 jam rm5
D Sirat,3 weeks ago,Makanan x sedap langsungðŸ¤® kedai elok je cantik kalau nak melepak
Muhammad Albakri,3 weeks ago,Ramai gile. Harga jangan cakap. Pandai2 tunjuk nak lauk apa. Mau garu kepala nk membayarnye. Sambal rase biasa je. Welp
Awang Gentoi,3 weeks ago,"kalau nak makan, kena order nasi tambah siap2 ðŸ¤£ðŸ¤£"
rahima hamid,a month ago,Ni 1st time dpt makan kat sini selama ni x dpt g sbb setiap kali pergi xde parking.. alhamdulillah mlm td ada lah parking berdekatan.. so gagahkan jugalah.. berbaloi pergi..
yulia nita,a month ago,"Rasa nya nikmat, aneka menu makanan dan minuman dengan harga terjangkau, cuma jika ingin makan ruangan ac kena cas 1 ringgit/orang"
D K,a month ago,"Pelayanan cepat dan bersih, jadi walaupun ramai jadinya tetep nyaman, terbuka tapi banyak kipas jadi gak gerah, untuk pilihan lauknya banyak, start from 5 RM tergantung lauknya, sambalnya pedas manis jadi bisa dinikmati, ikan terinya enak"
Mohd Ezzad Bin Niazman,a month ago,Nasi SGT SEDIKIT. Xkena dgn harga. Rasa oklah. Cuma NOT WORTH IT
judio de,a month ago,"makanan yang sedap, perkhidmatan yang cepat, suasana yang baik â­â­â­â­"
zul husni,a month ago,"Cepat, sedap dan selesa."
yana bastian,a month ago,"Actually overrated harga dia , tapi sebabkan die WANJO kan... So ramai orang tutup mata , also die kat center of KL ."
Gestapo 56,a month ago,Slow bungkus â€¦ Q panjang sebab lembab bungkusâ€¦ food ok price expensive
hadi kurniawan,a month ago,Ooh i love it. The taste is good. And they have free flow water too.But the juice stuff didnt really our fave things in here. The rest is awesome ðŸ’™
Izzah Masri,a month ago,"Kedai sangat bersih, wangi, makanan sedap."
Dwies Edy,a month ago,Sambal sedap. Banyak pilihan lauk. Harga mahal sikit tapi berbaloi.
azureen azroei,a month ago,Ok je sedapp. Agak pricey sikit. Harga org keyyyy elll.. ðŸ˜
Nick Chan,a month ago,A great reputation as one of the best Nasi Lemak is undisputed. Thou not many choices but each item is done to perfection. Highly recommend the Ayam Goreng. A+
Priya Ray Chaudhuri,2 months ago,"Awesome place for real authentic Nasi Lemak. If you are finicky about your plate please be alert because the serving ladies are super fast. Let them know what you want with a smile and they will help you out. I asked for no anchovies, a boiled egg and a breast piece of chicken...and they obliged happily. Taste is unbelievable. Total value for money."
suria yanie,a month ago,"Makanan just ok, sudah beberapa kali datang sini, sepinggan hidangan nasi seperti berkurangan dari first time datang. Staf yang sombong dan tergesa2 melayan pelanggan, sangat marah bila minta hidangan seperti kita mahu, kami mampu bayar bukan berkira soal duit tapi airmuka dan perangai staf yang sangat jelik."
Anna Levy,a month ago,"Delicious and authentic Malay food in a buffet style. A fun experience for tourists, with super cheap and tasty food. The staff were very kind in explaining the dishes to us in English."
RSB AL,a month ago,Nasi lemak sikit je tapi condiment je banyak..mcm takpuas makan tambah nasi lemak kosong ..dengan ayam goreng dan rendang ayam sedap..harga tak berapa sesuai  la dgn makanan yg diberi anyway ok to try
elly ui,a month ago,Wah ini benerÂ² enak sesuai dgn infoÂ² slama ini ak denger.. Kudu klo KL makan d sini
Aliahaqilah Qila,a month ago,"Sedapp banyak pilihan lauk pauk , staff friendly"
aidarara,a month ago,Berdekatan LRT kg baru.  Restoran  dlm keadaan bersih. Sambal nasi lemak sana rasa manis sikit.
suka suki,a month ago,Nasi mcm rm1.50.. paru 5ketul kecik ko bg? Cashier xyah buat muka ketat eh. Senarai harga tepek kt cermin.. nama dekat resit nasi lemak telur rebus rm5.50. Tq
Sam 1415,a month ago,"Food - coconut taste was light and rice was nicely cooked. Lots of dishes to choose.Service  + Atmosphere - lots of staff, wait was brief and the whole place is very clean. Staff was always seen keeping the place cleaned and food properly stocked."
Khairul. Annuar,a month ago,Nasi rase ok. Sambal agak manis. Overall rase biasa bg tekak aku.
Mohd Fauzi,a month ago,Nasi lemak yang sedap harga berpatutan dan kedai yang bersih
Nadiah Awang,a month ago,"Nasi lemak sedap, byk pilihan lauk. Kedai Bersih, servis laju. ðŸ‘ðŸ‘ðŸ‘ Puas hati"
Nurisah Saad,a month ago,"Staf biadap, staf layan customer macam sampah.. sampai tak sempat nak pilih lauk"
Sonde m,a month ago,"Nasi lemaknya 8/10. Ayam 9/10. Tapi untuk lidah sumatera, sotong cukup manis jadi 6/10. Tapi, keseluruhan maanteep."
eika faiz,a month ago,Nasi makin lama makin sikit. Tak berbaloi dah dengan harga.
RainNeko Mila,a month ago,"Nasi lemak sedap, sambal sotong pun sotongnya lembut. Harga standard, tak mahal sangat, tak murah sangat."
Sasan P,a month ago,"I had the pleasure of dining at Nasi Lemak Wanjo Kg Baro, and it was undoubtedly an authentic experience. A local tour guide recommended it, and it didn't disappoint. The food was simple yet incredibly delicious, giving a genuine canteen-like feel rather than a fancy fine-dining atmosphere. The value for money was excellent â€“ you definitely get your money's worth.The pace was fast, the place bustling with locals, and there was no sign of tourists in sight. This added to the authenticity of the experience. While it's not a place for a lavish 5-star dining experience or a three-course meal, the flavors were out of this world. If you're after genuine, mouthwatering food, Nasi Lemak Wanjo Kg Baro is a must-visit."
Rizal Indirwan Siregar,a month ago,Nasi lemak dan ayam rendangnya lezat
Shahriman Mohd sedik,a month ago,Makanan sedap...
Muhaizal Isma Ismail,a month ago,Sedap... cekap..selesa..
Faizal Abu Talib,a month ago,Tak sedap. Ayam goreng sejuk dan keras macam batu.
Nor Lelawati Shaari,a month ago,Biasa je and mahal
Viska,a month ago,"Antri sangat. Nak begitu, pelayanan fast."
Faisal Ahmad,a month ago,"Bapok segala sedakk! Nasi iye, sambal iye, lauk2 iye, ambient iye. Tolonglah mari dtg mkn Wanjo ni."
Ts. Muhammad Faiz,a month ago,Ada tmpt air cond. Makanan sedap. Nasi lemak lauk kerang sambal sotong paru ayam. Sodok semua. Padu
Amin Amran,2 months ago,"Service cepat, agak panas, sambal dan nasi sedap. Ayam goreng dan rendang agak kering. Tambah nasi, tapi macam xde tambahan. Tambah nasi rm1.60.."
Irwan Desyanto,2 months ago,"I went to this place by LRT, need to walk for 10 mins from the station...Nasi lemak with rendang and fried egg was so delicious..."
Khairul Anam,2 months ago,Makanan dia biasa je la. Tapi harga dia mahal jugak.
Ahmad Nakal,2 months ago,"Semua ok,tpi koyal jugak bab hargaðŸ˜‚ðŸ˜‚"
K Hkm,2 months ago,Salam.. jauh datang . Sila baiki perangai pekerja. Ramai sangat kurang ajar tiada adap dgn customer .. kalo camni boikot la ..
ira Eira,2 months ago,nasi lemak sedap.. pagi2 xthu nk mkn apa leh terjah mkn sni.. kyg smpai ke ptg sbb portoin nasi dia bnyak
Welliam Lauw,2 months ago,"best nasi lemak iâ€™ve ever had. the rice was so fragrant, must add the perkedel â¤ï¸"
Norhalina Mt,2 months ago,"Fast, clean, yummy! Superb crew! Even though some were moody but a bunch of them were pleasant! I enjoy their nasi lemak and all their dishes!Parking: Just get a grab. Parking is very hard to get and small roads."
Ahmad Fardhan,2 months ago,"Tempat mkn yg tak ada aircond terlalu panas, terasa bahang atap zink, sehingga ada pekerja disitu mengeluh panas. Nk mkn tak selesa, blh hilang mood mkn. Kalau nk mkn selesa ada disediakan tempat yg ada aircond, tp kena byr rm1 sekepala."
Mohd Habib Murtadza Hanafiah,2 months ago,"One of the famous Nasi lemak you can get in KL. Some of Malaysian dont like as the sambal not to spicy, but good for someone who doesnt like spicy sambal"
Lennos Tee,2 months ago,Love the nasi lemak here! The price was affordable and the place was surprisingly clean.The sambal suits my taste well and is less spicy with a little bit of sweet taste.There was parking opposite the shop ( operates inside a house) and it was RM5 per entry.
Alex P'ng,3 months ago,Sauces are good. Sambal was spicy and flavorful. There is a Coway water dispenser if you don't fancy any drinks. Tables are cleared very quickly and systematically. Place has very good ventilation and seating places. The fried chicken can be better. Rendang chicken is memang sedap!!! Fruit juices seem reasonably priced.
Pachrin Noor Zain,2 months ago,Perkedel kentang dan sambal merah ayamnya enak
Amy Mat Karim,3 months ago,Okeylah untuk selera orang bandar. I'm not sure if they have changed the chef but taste slightly different.
Hana Burn,2 months ago,"Dapat telur goreng tanpa telur kuning. Hampeh betul tak setanding dgn harga dia. Paru dia kering,sambal biasa je taksedap mana,nasi tak rasa santannye. Air kedondong & kiwi sedap.tak berbaloi utk pergi dgn parking susah."
Khai Halim,2 months ago,Nasi lemak dia biasa je takde apa yang special datang sebab viral je
Mohd Habib Murtadza Hanafiah,2 months ago,"One of the famous Nasi lemak you can get in KL. Some of Malaysian dont like as the sambal not to spicy, but good for someone who doesnt like spicy sambal"
Lennos Tee,2 months ago,Love the nasi lemak here! The price was affordable and the place was surprisingly clean.The sambal suits my taste well and is less spicy with a little bit of sweet taste.There was parking opposite the shop ( operates inside a house) and it was RM5 per entry.
Alex P'ng,3 months ago,Sauces are good. Sambal was spicy and flavorful. There is a Coway water dispenser if you don't fancy any drinks. Tables are cleared very quickly and systematically. Place has very good ventilation and seating places. The fried chicken can be better. Rendang chicken is memang sedap!!! Fruit juices seem reasonably priced.
Pachrin Noor Zain,2 months ago,Perkedel kentang dan sambal merah ayamnya enak
Amy Mat Karim,3 months ago,Okeylah untuk selera orang bandar. I'm not sure if they have changed the chef but taste slightly different.
Hana Burn,2 months ago,"Dapat telur goreng tanpa telur kuning. Hampeh betul tak setanding dgn harga dia. Paru dia kering,sambal biasa je taksedap mana,nasi tak rasa santannye. Air kedondong & kiwi sedap.tak berbaloi utk pergi dgn parking susah."
